Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
160534,SOCIOL 92R,Faculty Research Assistant,001,Sociology,"Meyer,Rachel",8,0,0,0,0,0,0,8
115130,SOCIOL 97,Tutorial Sociological Theory,001,Sociology,"Bonikowski,Bart",57,0,0,0,0,0,0,57
205091,SOCIOL 98DA,Collective Identity,001,Sociology,"Dromi,Shai M.",8,0,0,0,0,0,0,8
205090,SOCIOL 98LB,"JrTut: Hlth: Pwr, Pol, Cult",001,Sociology,"Leenman,Theodore S",7,0,0,0,0,0,0,7
126248,SOCIOL 98M,Social Class in the US,001,Sociology,"Meyer,Rachel",9,0,0,0,0,0,0,9
159854,SOCIOL 99B,Senior Tutorial,001,Sociology,"Meyer,Rachel",8,0,0,0,0,0,0,8
142657,SOCWORLD 13,Japan in Asia and the World,001,General Education,"Gordon,Andrew D.",18,0,1,0,0,0,0,19
116999,SOCWORLD 27,The Two Koreas,001,General Education,"Eckert,Carter J.",59,4,0,0,0,0,0,63
126203,SOCWORLD 31,Pol Economy After The Crisis,001,General Education,"Unger,Roberto Mangabeira",10,4,1,0,0,0,0,15
126641,SOCWORLD 38,Arch Hist of Ancient Egypt,001,General Education,"Manuelian,Peter Der",322,0,0,0,0,0,0,322
117137,SOCWORLD 40,The Incas,001,General Education,"Urton,Gary",71,0,0,0,0,0,0,71
127538,SOCWORLD 44,"Human Traffking,Slavery&Abolit",001,General Education,"Patterson,Orlando",105,1,1,1,0,0,0,108
108854,SOCWORLD 49,Worlds of Business Modrn China,001,General Education,"Kirby,William C.",55,0,0,0,2,0,0,57
206594,SOMALI 101BR,Advanced Somali II,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
206578,SOMALI AB,Elementary Somali,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
124982,SPANSH 10,Beginning Spanish I,001,Romance Languages & Lit,"Moreno Palmero,Maria Celeste",10,0,0,8,0,0,0,18
124982,SPANSH 10,Beginning Spanish I,002,Romance Languages & Lit,"Moreno Palmero,Maria Celeste",11,0,0,3,0,0,0,14
124982,SPANSH 10,Beginning Spanish I,003,Romance Languages & Lit,"Moreno Palmero,Maria Celeste",0,2,0,0,0,0,0,2
125058,SPANSH 11,Beginning Spanish II,001,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",20,1,0,3,0,0,0,24
125058,SPANSH 11,Beginning Spanish II,002,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",22,1,0,0,0,0,0,23
125058,SPANSH 11,Beginning Spanish II,003,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",4,0,0,0,0,0,0,4
125058,SPANSH 11,Beginning Spanish II,004,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",11,0,0,0,0,0,0,11
125058,SPANSH 11,Beginning Spanish II,005,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",7,0,0,0,0,0,0,7
125058,SPANSH 11,Beginning Spanish II,006,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",9,0,0,2,0,0,0,11
125058,SPANSH 11,Beginning Spanish II,007,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",13,0,0,0,0,0,0,13
125058,SPANSH 11,Beginning Spanish II,008,Romance Languages & Lit,"Parra-Velasco,Maria Luisa",9,0,0,1,0,0,0,10
206815,SPANSH 119,Introduction to Spanish Art,001,Romance Languages & Lit,"Vega-Duran,Raquel",11,0,0,0,0,0,0,11
206816,SPANSH 142,Immigration and Globalization,001,Romance Languages & Lit,"Vega-Duran,Raquel",16,1,0,1,0,0,0,18
116469,SPANSH 15,Intensive Beginning Spanish,001,Romance Languages & Lit,"Moreno Palmero,Maria Celeste",5,2,0,2,0,0,0,9
109775,SPANSH 171,Barcelona and Catalan Culture,001,Romance Languages & Lit,"Dasca batalla,Maria Candela",5,0,0,1,0,0,0,6
125011,SPANSH 20,Intermediate Spanish,001,Romance Languages & Lit,"Gutierrez,Adriana",11,0,0,0,0,0,0,11
125011,SPANSH 20,Intermediate Spanish,002,Romance Languages & Lit,"Gutierrez,Adriana",21,0,0,0,0,0,0,21
